meal name,ingredients,method
"

          Cardamom whirls        
","[u'500g strong white bread flour, plus extra for dusting', u'85g ', u', cut into small pieces', u'1 x 7g sachet easy-blend dried ', u'50g golden caster sugar', u'1 tsp ground cardamom', u'250ml ', u'175g white ', u', grated', u'2 tsp ground cardamom', u'50g ', u', melted', u'1 ', u', lightly beaten', u'10 sugar cube, broken into small pieces']","[u'Tip the flour and \xbd tsp salt into a food processor fitted with a dough blade. Add the butter and process until the mixture resembles fine breadcrumbs. Stir in the yeast, then the sugar and cardamom.', u'Warm the milk until it is hand hot, then add to the dry mix to form a soft dough. Process the dough for 2 mins, then leave in the machine to rise for about 1 hr until it springs back when pressed with a finger. Process the dough briefly in the machine, then tip out onto a lightly floured surface.', u'Heat oven to 220C/200C fan/gas 7. Line 2 baking sheets with baking paper. For the filling, mix the marzipan with the cardamom and butter. Roll out sthe dough to a 50 x 20cm rectangle. Spread the filling over the dough to within 1cm of the edges. Roll up the dough from one long edge. Cut into 20 slices, about 3cm thick, then transfer to the baking sheets, cut sides up. Cover with a tea towel and leave to rise for 30-40 mins until well risen.', u'Brush the whirls with beaten egg and sprinkle with broken sugar. Bake for 12-15 mins until risen and golden. Best eaten freshly baked, or freeze on the day of baking for up to a month.']"
"

          Coconut tart        
","[u'\xbd  tsp ground cinnamon', u'4 cardamom pod, shelled and seeds crushed', u'175g desiccated coconut', u'225g caster sugar', u'25g ', u', melted', u'\xbe of a 500g block all-butter shortcrust pastry', u'plain flour, for dusting', u'1 ', u', beaten', u'Cape gooseberry (also know as physalis), to serve (optional)']","[u'Heat oven to 200C/fan 180C/gas 6. Place a shallow 23cm flan tin on a baking tray. Tip the spices, coconut and sugar into a pan with 150ml water and cook over a low heat for about 5 mins, stirring frequently to ensure the mixture doesn\u2019t catch. Set aside to cool.', u'Meanwhile, roll out the pastry on a lightly floured surface and use to line the flan tin. Trim off the excess pastry, fill the pastry case with baking parchment and baking beans and cook for 15 mins. Remove the beans and cook for 5 mins more so the pastry on the base of the tin is just cooked, but not brown.', u'Beat the egg and melted butter into the cooled coconut mixture, then spoon into the pastry case and smooth the top. Bake for 25 mins until the pastry is golden and the coconut pale golden. Serve with cream or real vanilla ice cream and some Cape gooseberries, then follow with cups of black Rooibos tea.']"
"

          Marvellous mangoes        
","[u'3 mango', u'3 tbsp Cointreau or Grand Marnier', u'a handful of fresh ', u' leaves']","[u'Slice the mangoes, put them in a glass bowl and splash with the Cointreau. Cover and chill for at least 2 hrs (or overnight). Serve straight from the fridge, showered with a handful of torn or roughly chopped fresh mint leaves.']"
"

          Spicy cheese & tomato bake        
","[u'400g pasta shapes- we used amori (spirals)', u'190g jar sundried tomato ', u'1-2 red chillies, deseeded and chopped', u'250g large cherry tomato, halved', u'1 tsp smoked paprika', u'50g grated ', u' (or vegetarian alternative)', u""150g tub goat's cheese, chopped""]","[u'Heat oven to 200C/180C fan/gas 6 and boil the pasta following pack instructions. Meanwhile, tip the pesto, chilli, tomatoes and paprika into a large ovenproof dish. Shake 3 tbsp water in the closed pesto jar to get out the last bits, then pour into the dish and stir everything together. Drain the pasta, tip into the dish, season and mix well with half the Parmesan.', u'Scatter over the goat\u2019s cheese, followed by the remaining Parmesan, then bake for 15-20 mins until piping hot and the cheese has melted.']"
"

          Turkey & courgette koftas        
","[u'500g pack turkey thigh mince', u'1 garlic clove, crushed', u'2 tsp ground cumin', u'zest and juice 1 ', u'140g ', u', coarsely grated', u'\xbd  pack flat-leaf parsley', u'\xbd  pack ', u', leaves only, finely chopped', u'85g half-fat cr\xe8me fra\xeeche', u'50g Greek yogurt', u'1 small cucumber, halved, deseeded and thickly sliced', u'4 ', u', grated', u'140g cherry tomatoes, halved', u'2 flour tortillas, each cut into 8 wedges', u'1 tbsp ']","[u'Soak 8 wooden skewers in cold water for 10 mins. In a bowl, combine the mince, garlic, cumin, lemon zest, courgettes, half the mint and parsley, and some seasoning. Using wet hands, divide the mixture into 8 and form into sausage shapes around the skewers. Chill for 20 mins.', u'Meanwhile, in a small bowl, mix together the cr\xe8me fra\xeeche, yogurt, remaining mint, a squeeze of lemon juice, and some seasoning, then set aside. Toss the cucumber, carrots, tomatoes, remaining parsley and remaining lemon juice together in a bowl.', u'Heat the grill and line the rack with foil. Toast the tortilla pieces for 3 mins on each side or until crisp. Brush the koftas with the oil and grill for 14-16 mins, turning until browned. Serve the koftas with the salad, minty dip and tortilla crisps.']"
"

          Warm runner bean salad        
","[u'500g ', u', trimmed and sliced', u'2 tbsp ', u'2 garlic cloves, thinly sliced', u'2 ', u', thinly sliced into rings', u'2 tbsp sherry vinegar', u'small bunch chives, chopped']","[u'Cook the beans in boiling salted water for 2-3 mins until tender, drain and set aside. Heat the oil in a small pan, fry the garlic until pale golden, then add the beans and season. Add the shallots and stir to combine, then remove from the heat. Serve warm or at room temperature drizzled with Sherry vinegar and sprinkled with chives.']"
"

          Crispy neeps 'n' tatties cake        
","[u'1 large ', u', peeled and cut into chunks', u'4 baking potato, peeled and cut into chunks', u'50g ', u', for greasing', u'8 thin slices ']","[u'Boil the swede and potatoes in salted water for about 20 mins until completely tender, then drain well. Return to the pan under a very low heat for a few mins to dry out. Off the heat, bash the veg into a chunky mash with half the butter, a touch of salt and lots of pepper.', u'Heat oven to 220C/200C fan/gas 7. Grease an ovenproof frying pan with a splash of oil and line the pan with the pancetta so it meets in the middle (like the stripes on the Union Flag). Press the veg into the dish (you can get up to this stage up to a day ahead and keep in the fridge). Dot with the remaining butter, then bake for about 40 mins until crisp and golden. Remove from the oven, turn out onto a board and cut into wedges.']"
"

          Pizza picnic bread        
","[u'500g pack white bread mix', u'plain flour, for dusting', u'200g mozzarella, grated', u'10 thin slices ham', u'1 small red ', u', finely chopped', u'oil, for greasing', u'8 tbsp ready-made tomato pasta or pizza sauce, to serve']","[u'Make up the bread dough following pack instructions. Roll out on a lightly floured surface to a rectangle approximately 20 x 45cm.', u'Scatter the cheese, ham and onion over, then fold up the edges so the filling is enclosed. Roll into a long sausage so it looks like a baguette. Transfer to a lightly oiled tray and leave in a warm place, loosely covered with oiled cling film to puff up a little. It will take about 30 mins.', u'Heat oven to 200C/180C fan/gas 6. Brush with some oil and cook for 20-30 mins, until puffed up and golden. Allow to cool a little. Heat the pasta sauce in a small pan until hot. Slice the picnic bread. Eat warm or cold, with the tomato sauce for dipping.']"
"

          Easy gooseberry cobbler         
","[u'750g ', u', washed, topped and tailed', u'100g caster sugar', u'1 tsp grated root ginger', u'3 tbsp elderflower cordial', u'140g plain flour', u'2 tsp ', u'25g ', u'25g caster sugar', u'150ml buttermilk', u'1 tbsp demerara sugar']","[u'Heat oven to 190C/170C fan/gas 5. Place the gooseberries, caster sugar, ginger and elderflower in a saucepan with 4 tbsp water and cook, covered, for 5 mins until the berries begin to pop. Tip into a baking dish.', u'Make the topping. Sift the flour, baking powder and a pinch of salt into a mixing bowl. Rub in the butter until the mixture looks like breadcrumbs, then stir in the caster sugar. Mix in the buttermilk to give a soft, sticky dough. Dollop spoonfuls on top of the gooseberries, then sprinkle with the demerara. Bake for 25 mins or until golden brown and crusty. Stand for 5 mins, then serve with some low-fat ice cream, fromage frais or custard.']"
"

          Potato & pesto pizza        
","[u'200g baby ', u'145g pack ciabatta bread mix', u'1 tsp ', u', plus extra for greasing', u'2 tbsp green ', u'125g ball mozzarella, grated', u'large handful ']","[u'Bring a pan of salted water to the boil, drop in the potatoes and simmer for 15 mins or until tender. Drain and leave to cool a little, then slice.', u'Meanwhile, heat oven to 220C/200C fan/ gas 7. Prepare the bread mix following pack instructions. Roll out into a rough circle, about 28cm diameter, then transfer to an oiled baking tray. Set aside for 15 mins.', u'Spread the pesto over the pizza base. Scatter over half the mozzarella. Top with the potatoes and remaining cheese. Drizzle the oil over the potatoes and bake for 15-18 mins or until the crust is golden and the cheese bubbling. Scatter over the rocket and a good grinding of black pepper before serving.']"
"

          Potatoes on skewers        
","[u'large, salad ', u', peeled, halved', u'fresh bay leaves', u'a splash of ', u'sea salt', u'salt or your favourite dips, to serve']","[u'Par-boil new potatoes for five minutes, then thread on skewers with some large, peeled, halved salad onions and fresh bay leaves. Brush with olive oil and sprinkle with sea salt. BBQ or grill for about 10 minutes turning occasionally. Serve simply with salt or your favourite dips \u2013 soured cream or mayonnaise-based ones would be great.']"
"

          Citrus & marzipan Bakewell tart        
","[u'375g pack sweet shortcrust pastry', u'jar of lemon curd', u'280g icing sugar', u'juice 1 ', u'100g very soft ', u'100g golden caster sugar', u'50g ground almond', u'50g self-raising flour, plus a little extra for dusting', u'\xbc tsp almond extract', u'2 medium egg, beaten', u'25g chopped candied peel', u'zest 1 ', u'zest \xbd ', u'50g block ']","[u'Roll out the pastry on a lightly floured surface to line a 12 x 35cm loose-bottomed tart tin. Press any overhanging pastry back over the outside of the tin (you can trim after baking). Prick the base all over with a fork and chill for 30 mins. Heat oven to 200C/180C fan/gas 6.', u'Bake the pastry for 15 mins until just cooked but not coloured. Lower the heat to 180C/160C fan/gas 4. Make the sponge mixture by beating the butter, sugar, ground almonds, flour, almond extract and eggs together with an electric whisk until well mixed. Tip in the candied peel and zests, then coarsely grate in the marzipan \u2013 the best way to do this is to keep dipping the end of the block in flour to stop it getting sticky, and stir into the mix every now and then to stop it all clumping back together. Give everything a good stir.', u'Spoon 3 tbsp of the lemon curd into a disposable piping bag or a small food bag. Spread the rest of the lemon curd over the base of the tart, then spoon over the sponge mixture and spread evenly. Bake for 35-40 mins until golden and firm. Cool completely in the tin.', u'Sift the icing sugar into a bowl and stir in enough of the lemon juice to get a smooth, thick but still runny icing. Spread all over the top of the tart and wiggle the tin to help it smooth. Snip off the tip of the bag of reserved lemon curd. Pipe lines horizontally across the length of the tin, then use the end of a cocktail stick or skewer to drag lines down the length of the tin to \u2018feather\u2019 the lemon curd into the icing. Will keep well for up to 5 days in the tin covered with cling film, or sliced in an airtight container.']"
"

          Potato pancakes        
","[u'250g cold mashed ', u', or 2 medium-size floury potatoes, cut into chunks', u'75g plain flour', u'1 tsp ', u'2 ', u'125ml ', u'1 rounded tbsp finely snipped chives', u'1 tsp ', u'knob of ', u'crispy ', u' and scrambled eggs to serve, if you like']","[u'If you\u2019ve got potatoes not mash, cook them in boiling water until tender. Drain well and press through a potato ricer or mash. Weigh out 250g and cool.', u'Sieve the flour and baking powder onto cooled mash. Whisk eggs and milk together and add to the potato mix with the chives. Whisk the batter until smooth.', u'Heat a large non-stick frying pan over a medium heat. Add \xbd tsp sunflower oil and a dot of butter. When the fat is hot, start to cook the pancakes. Add 1 tbsp of batter for each pancake and cook 4 at a time. Cook for about 1 min until the underside is golden brown and small bubbles appear.', u'Flip the pancakes and cook until golden. Remove from the pan and keep warm while you cook the remaining pancakes in the same way, adding a tiny bit of oil and butter to the pan as and when needed. Serve the pancakes in stacks with creamy scrambled egg and crisp rashers of streaky bacon.']"
"

          Mexican-style chilli ribs        
","[u'1\xbd kg pork spare rib - the meatier the better (3 per person)', u'1 tbsp ground cumin', u'1 tsp hot smoked paprika', u'1 tbsp ground coriander', u'2 tsp dried ', u', or 2 tbsp fresh leaves, chopped', u'1 heaped tbsp dark soft brown sugar', u'1 ', u', zested then cut into wedges, to serve', u'1 tbsp ', u'2 fat garlic clove, crushed', u'2 tbsp tomato pur\xe9e', u'3 tbsp dark soft brown sugar', u'2 tbsp red wine vinegar', u'2 tsp chipotle paste', u'juice 1 ']","[u'Mix the dry rub ingredients with \xbd tsp flaky sea salt, then massage into the meat. Marinate for at least 1 hr, or ideally up to 1 day in the fridge.', u'To make the sauce, heat the oil in a small saucepan and soften the garlic for 1 min. Stir in the rest of the ingredients, plus 2 tbsp water and simmer for a few secs until the sugar melts. Season with salt and set aside.', u'Heat oven to 160C/140C fan/gas 3. Put the ribs in a roasting tin in 1 fairly snug layer. Pour in 100ml hot water, cover the dish tightly with foil and bake for 2 hrs until the meat pulls easily from the bones. Drain off any fat. The ribs can be cooled and kept in the fridge for up to 2 days.', u'For the final stage of cooking, get the barbecue ready and wait until the coals are glowing white and grey. Cook the ribs for 4-5 mins on each side until dark golden and hot through \u2013 use tongs to turn them carefully. Brush with some of the chipotle sauce and give the ribs 1 min more to char here and there. Serve on a platter with the rest of the sauce for spooning, lime wedges, plus a big bowl of Smoky corn & avocado salsa (see related recipes, right).']"
"

          Gingerbread bites        
","[u'330g pitted ', u'2 tsp vanilla extract', u'80g ground almonds, plus extra if needed', u'\xbd  tsp ', u'\xbd  tsp ground ginger', u'80g flaked almonds', u'80g ', u', roughly chopped']","[u'Blend the dates and vanilla extract using a food processor or stick blender with 2 tbsp water. Add the ground almonds and spices and pulse until combined. You may need to add extra ground almonds, 1 tsp at a time, to firm them up.', u'Fold through the flaked almonds and pecans. Empty onto a greased baking tray and press until flat and even. Chill in the fridge until set.', u'Turn out onto a chopping board and cut into bite-sized pieces.']"
"

          Leek, mushroom & goat's cheese strudels        
","[u'500g ', u', thinly sliced', u'150ml low-sodium vegetable stock', u'175g chestnut mushroom, sliced', u'4 large sheets filo pastry', u'1 tbsp ', u""85g soft-rinded goat's cheese or vegetarian alternative"", u'1 tsp poppy seeds']","[u'Heat oven to 200C/180C fan/gas 6. Put the leeks and stock into a large pan, then cover and cook for 5-8 mins until starting to soften. Add the mushrooms, cover again and cook for 3 mins, then remove the lid and continue to cook until the juices have evaporated. Tip the veg onto a large plate to cool slightly.', u'For each strudel, lightly brush half of each filo sheet with some olive oil. Fold the un-brushed side over to make a smaller sheet, 2 layers thick. Brush the edges with a little more oil, then spoon a quarter of the veg along one edge. Crumble over a quarter of the cheese, fold over the pastry edges, then roll up to seal in the filling.', u'Put the strudels on a baking tray, brush with any remaining oil and scatter over the poppy seeds. Bake for 25 mins until crisp and golden brown.']"
"

          Horseradish & soured cream baked potatoes        
","[u'3 large floury baking potatoes, preferably King Edward', u'3 large ', u' yolks', u'142ml carton double cream', u'3-4 tbsp grated hot horseradish', u'1-2 tbsp fresh ', u' juice', u'50g ']","[u'In the morning - preheat the oven to 220C/gas 7/fan 200C and bake the potatoes for about 1 hour until the insides are soft.', u'Whisk the egg yolks, cream, 3 tbsp horseradish and 1 tbsp lemon juice in a large bowl. Cut the potatoes in half and spoon the insides into the bowl, reserving the skins.', u'Mash the potato and flavourings together, then season with salt and a little pepper. Taste and add more horseradish and/or lemon juice if required. Pile the potato back into the skins, then place the potatoes on a baking tray. Loosely cover with cling film and keep them cool, not chilled.', u'Half an hour before serving - dot the filling with scraps of butter and bake in the oven with the pie for 25-30 minutes until the tops are browned.']"
"

          Lemony stoved potatoes        
","[u'3kg ', u'5 tbsp ', u'zest and juice 1 ', u'2 tbsp dried mixed herb']","[u'Heat oven to 160C/140C fan/gas 3. Tip the potatoes into a large roasting tin with the olive oil, lemon and 100ml water. Put the tin on a shelf under the lamb and cook for 1\xbd hrs. When the lamb comes out, give the potatoes a stir. Turn up the oven to 220C/200C fan/gas 7 and cook for a further 45 mins-1 hr. They won\u2019t go as crisp as roasties, so poke them with a knife to check they\u2019re cooked through.']"
"

          Spicy squid pakoras with coconut yogurt dip        
","[u'plenty of ', u', for frying', u'250g prepared ', u', body opened out, scored on the inside, then cut into bite-sized pieces, plus the tentacles', u'mango chutney, to serve', u'140g gram flour, plus 1 tbsp', u'1 tbsp freeze-dried curry leaf', u'\xbd  tsp ', u', bruised in a pestle and mortar', u'1 heaped tsp ground cumin', u'1 tsp ground turmeric', u'1 tsp black mustard seeds (optional)', u'150ml full-fat coconut milk', u'1 thumb-sized piece ', u', finely grated', u'2 garlic clove, crushed', u""1 long, hot green chilli, finely shredded (deseeded if you don't like it too hot)"", u'\xbd  bunch ', u', finely shredded', u'100g low-fat Greek-style ', u'2 tbsp coconut milk', u'small handful ', u' leaves, to serve (optional)']","[u'Heat a 5cm depth of oil in a medium, deep saucepan. It\u2019s hot enough for frying when a cube of bread turns brown in the oil in about 30 secs. Heat oven to 200C/180C fan/gas 6. Line a large bowl and a baking tray with kitchen paper, ready to drain the squid.', u'For the batter, put the flour in a large bowl, add 1\u20442 tsp salt, then stir in the dried spices. using a whisk, gradually work in the coconut milk to make a thick batter. Add the ginger, garlic, chilli and spring onions. Tip in the squid and mix it well to coat \u2013 it will feel quite claggy. Mix the yogurt, coconut and mint for the dip, then season with salt.', u'When the oil is hot enough, drop generous tablespoons of the batter in. Do not fry more than three pakoras at a time, or the oil will lose its sizzle. Fry for 11\u20442 mins, or until golden on one side, then carefully turn the pakoras over with a slotted spoon and cook for another 11\u20442 mins.', u'When golden all over, lift out, drain on the paper in the bowl, then lift onto the paper on the baking tray and put in the oven to keep warm. Repeat, using up the rest of the batter. When all the pakoras are cooked, put them on a platter, sprinkle with a little salt and reserved mint leaves, if you like, and serve with the dip and mango chutney.']"
